user_name,Repo_name,star,user_repo_url
Genymobile,scrcpy,68400,https://www.github.com/Genymobile/scrcpy
neovim,neovim,56400,https://www.github.com/neovim/neovim
git,git,43000,https://www.github.com/git/git
obsproject,obs-studio,39900,https://www.github.com/obsproject/obs-studio
fffaraz,awesome-cpp,39000,https://www.github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,31400,https://www.github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,30900,https://www.github.com/FFmpeg/FFmpeg
vim,vim,28100,https://www.github.com/vim/vim
curl,curl,25900,https://www.github.com/curl/curl
huihut,interview,25200,https://www.github.com/huihut/interview
ggreer,the_silver_searcher,23900,https://www.github.com/ggreer/the_silver_searcher
mpv-player,mpv,19600,https://www.github.com/mpv-player/mpv
ruby,ruby,19400,https://www.github.com/ruby/ruby
pbatard,rufus,19300,https://www.github.com/pbatard/rufus
ossrs,srs,18800,https://www.github.com/ossrs/srs
google,flatbuffers,18400,https://www.github.com/google/flatbuffers
oracle,graal,17300,https://www.github.com/oracle/graal
radareorg,radare2,16600,https://www.github.com/radareorg/radare2
microsoft,vcpkg,16300,https://www.github.com/microsoft/vcpkg
kovidgoyal,kitty,15400,https://www.github.com/kovidgoyal/kitty
hashcat,hashcat,15000,https://www.github.com/hashcat/hashcat
shadowsocks,shadowsocks-libev,15000,https://www.github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,14900,https://www.github.com/allinurl/goaccess
jarun,nnn,14600,https://www.github.com/jarun/nnn
TheAlgorithms,C,14000,https://www.github.com/TheAlgorithms/C
vurtun,nuklear,13400,https://www.github.com/vurtun/nuklear
facebook,infer,13400,https://www.github.com/facebook/infer
qmk,qmk_firmware,12900,https://www.github.com/qmk/qmk_firmware
CoatiSoftware,Sourcetrail,12800,https://www.github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,11600,https://www.github.com/s-matyukevich/raspberry-pi-os
